127.0.0.1 - - [30/Jan/2016:21:45:23 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:24 -0200] "GET /AngularJSTutorialBackend/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:31 -0200] "GET /AngularJSTutorialBackend/welcome HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:42 -0200] "GET /AngularJSTutorialBackend/welcome HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:43 -0200] "GET /AngularJSTutorialBackend/welcome HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:44 -0200] "GET /AngularJSTutorialBackend/welcome HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:45 -0200] "GET /AngularJSTutorialBackend/welcome HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:45 -0200] "GET /AngularJSTutorialBackend/welcome HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:45:46 -0200] "GET /AngularJSTutorialBackend/welcome HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:47:15 -0200] "GET /AngularJSTutorialBackend/lista/telefones HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:49:13 -0200] "GET /AngularJSTutorialBackend/lista/telefones HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:49:13 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Jan/2016:21:49:13 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
